,phi0,p,m,P[N],xc,yc,small_delta_v,safety_ratio
0,20.0,0.6427876096865393,0.8912563779785665,0.20236740855615148,2.4584775258796725,0.5810045363644937,0.5273963764415756,5.295788665482136
1,20.2,0.6441236297613865,0.8886930876770569,0.2042608182663792,2.456851819616467,0.5866492059173053,0.5323308539220061,5.243633711400533
2,20.4,0.6454576877239504,0.8861521473419738,0.2061536590651397,2.455210380183212,0.5922893181653649,0.537263848743502,5.192488750847735
3,20.6,0.6467897795104595,0.8836332288937893,0.20804598393339,2.453553218669343,0.5979248354499161,0.5421954989814828,5.142324383883972
4,20.8,0.6481199010631309,0.881136011888369,0.209937845722402,2.451880346234598,0.6035557201276452,0.5471259423733906,5.0931123409790455
5,21.0,0.6494480483301837,0.8786601832689679,0.21182929715826182,2.4501917741090184,0.6091819345711287,0.5520553163304174,5.044825429184882
6,21.2,0.6507742172658508,0.8762054371286145,0.21372039084635458,2.4484875135926667,0.6148034411695311,0.5569837579491917,4.997437481354824
7,21.4,0.6520984038303922,0.873771474482348,0.2156111792757983,2.4467675760557124,0.6204202023290699,0.5619114040233351,4.950923308210559
8,21.6,0.6534206039901054,0.8713580030488158,0.21750171482386738,2.445031972938247,0.6260321804736125,0.5668383910549892,4.905258653071926
9,21.8,0.6547408137173397,0.8689647370407519,0.21939204976039534,2.443280715750148,0.6316393380452434,0.5717648552662911,4.860420149078468
10,22.0,0.6560590289905072,0.8665913969639082,0.22128223625214288,2.441513816070997,0.6372416375047675,0.5766909326107555,4.816385278744529
11,22.2,0.6573752457940958,0.864237709424008,0.22317232636713763,2.4397312855500184,0.6428390413323385,0.5816167587845867,4.773132335700454
12,22.4,0.6586894601186803,0.8619034069413468,0.22506237207901375,2.437933135905848,0.6484315120279162,0.5865424692379864,4.730640388483305
13,22.6,0.6600016679609367,0.8595882277726531,0.22695242527131052,2.4361193789264477,0.654019012111895,0.5914681991863567,4.6888892462501675
14,22.8,0.6613118653236518,0.857291915739878,0.2288425377417499,2.434290026468995,0.6596015041255735,0.5963940836214493,4.647859426296153
15,23.0,0.6626200482157374,0.8550142200655729,0.23073276120651284,2.432445090459674,0.6651789506317305,0.6013202573225085,4.6075321232667585
16,23.2,0.6639262126522415,0.8527548952145516,0.23262314730446979,2.430584582893612,0.6707513142151602,0.6062468548672972,4.567889179962999
17,23.4,0.6652303546543608,0.8505137007415415,0.2345137476014135,2.4287085158346686,0.6763185574831727,0.6111740106431288,4.528913059643508
18,23.6,0.6665324702494524,0.8482904011445483,0.2364046135942661,2.426816901415263,0.681880643066206,0.6161018588578295,4.490586819734976
19,23.8,0.6678325554710466,0.8460847657236698,0.23829579671526674,2.4249097518362728,0.6874375336182158,0.6210305335506542,4.452894086868202
20,24.0,0.6691306063588581,0.8438965684451146,0.24018734833615182,2.422987079366773,0.6929891918173682,0.6259601686031788,4.415819033162123
21,24.2,0.6704266189587991,0.8417255878101892,0.2420793197723047,2.42104889634396,0.6985355803663962,0.6308908977501162,4.3793463536840935
22,24.4,0.6717205893229902,0.8395716067290319,0.24397176228690634,2.4190952151729053,0.704076661993263,0.6358228545901325,4.343461245018338
23,24.6,0.6730125135097733,0.8374344123988826,0.2458647270950683,2.417126048326344,0.709612399451557,0.6407561725966189,4.308149384880064
24,24.8,0.6743023875837233,0.8353137961866913,0.2477582653679384,2.41514140834457,0.7151427555211075,0.645690985128391,4.273396912715853
25,25.0,0.6755902076156601,0.8332095535158737,0.2496524282368169,2.413141307835141,0.7206676930084184,0.6506274254404163,4.239190411235221
26,25.2,0.6768759696826606,0.8311214837570359,0.2515472667972332,2.4111257594727986,0.726187174747222,0.6555656266944391,4.205516888821658
27,25.4,0.6781596698680705,0.8290493901224986,0.2534428321130482,2.4090947759990873,0.731701163598969,0.660505721969671,4.17236376277449
28,25.6,0.6794413042615165,0.8269930795644588,0.25533917522050553,2.4070483702222765,0.7372096224533683,0.6654478442733494,4.139718843336419
29,25.8,0.6807208689589177,0.824952362676634,0.2572363471323018,2.4049865550171012,0.742712514228824,0.6703921265513451,4.107570318463831
30,26.0,0.6819983600624985,0.8229270535992452,0.25913439884163936,2.40290934332449,0.7482098018730049,0.6753387016987241,4.075906739300022
31,26.2,0.6832737736807991,0.8209169699272005,0.2610333813262605,2.400816748151433,0.7537014483632499,0.6802877025702618,4.044717006313822
32,26.4,0.6845471059286886,0.8189219326213447,0.26293334555249875,2.398708782570602,0.759187416707198,0.6852392619910004,4.013990356068064
33,26.6,0.6858183529273761,0.8169417659226511,0.26483434247928955,2.3965854597202645,0.76466766994314,0.690193512766702,3.9837163485852227
34,26.8,0.687087510804423,0.8149762972692373,0.2667364230622082,2.3944467928039144,0.7701421711405919,0.6951505876943717,3.95388485527849
35,27.0,0.6883545756937539,0.8130253572160901,0.2686396382574797,2.3922927950900585,0.7756108834007857,0.7001106195727076,3.924486047419369
36,27.2,0.6896195437356697,0.8110887793573897,0.27054403902599067,2.390123479911985,0.7810737698571275,0.7050737412125567,3.8955103851139987
37,27.4,0.6908824110768583,0.8091664002513334,0.27244967633730505,2.3879388606674277,0.7865307936756468,0.7100400854473805,3.866948606762245
38,27.6,0.6921431738704068,0.8072580593473581,0.2743566011736541,2.38573895081839,0.7919819180555734,0.715009785143653,3.8387917189750866
39,27.8,0.6934018282758129,0.8053635989156688,0.2762648645339535,2.3835237638907754,0.7974271062297503,0.7199829732113296,3.8110309869271437
